"Item.ID","Item.Type","Home.Location","Current.Location","Name","Categories","Min.Frequency","Replacement.Cost","Category","weight","type"
"ETL0552","Sledgehammers","Portobello","Leith","Sledgehammer","Carpentry and Woodworking, Garden, General DIY, Miscellaneous, Painting and Decorating",NA,0,"Garden",NA,NA
"ETL0553","Sledgehammers","Leith","Leith","Sledgehammer","Carpentry and Woodworking, Garden, General DIY, Miscellaneous, Painting and Decorating",NA,0,"Garden",NA,NA
"ETL0554","Sledgehammers","Leith","Leith","Sledgehammer","Carpentry and Woodworking, Garden, General DIY, Miscellaneous, Painting and Decorating",NA,0,"Garden",NA,NA
"ETL0555","Digging Fork","Leith","Leith","Small Hand-held Garden Fork","Garden, Miscellaneous",NA,5,"Garden",NA,NA
"ETL0556","Brick Trowel","Leith","Leith","Small Garden Trowel","Garden",NA,5,"Garden",NA,NA
"ETL0557","Crescent Wrench","Leith","Leith","25mm/38mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0558","Crescent Wrench","Leith","Leith","18mm/24mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0559","Crescent Wrench","Leith","Leith","16mm/20mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0560","Crescent Wrench","Leith","Leith","18mm/22mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0561","Crescent Wrench","Leith","Leith","13mm/26mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0562","Crescent Wrench","Leith","Leith","15mm/17mm Spanner","General DIY",NA,5,"General DIY",NA,NA
"ETL0563","Crescent Wrench","Leith","Leith","9mm/12mm Spanner","General DIY",NA,5,"General DIY",NA,NA
"ETL0564","Crescent Wrench","Leith","Leith","12/14mm Spanner","General DIY",NA,5,"General DIY",NA,NA
"ETL0565","Crescent Wrench","Leith","Leith","10/11mm Spanner","General DIY",NA,5,"General DIY",NA,NA
"ETL0566","Crescent Wrench","Leith","Leith","8/9mm Spanner","General DIY",NA,5,"General DIY",NA,NA
"ETL0567","Crescent Wrench","Leith","Leith","15/17mm Spanner","General DIY",NA,5,"General DIY",NA,NA
"ETL0568","Crescent Wrench","Leith","Leith","17/20mm Spanner","General DIY",NA,5,"General DIY",NA,NA
"ETL0569","Crescent Wrench","Leith","Leith","Miniature Spanner Set","General DIY",NA,10,"General DIY",NA,NA
"ETL0570","Needle Nose Pliers","Leith","Leith","Needle nosed pliers","Automotive, Electrical and Soldering, General DIY, Metalworking, Plumbing",NA,5,"Metalworking",NA,NA
"ETL0571","Files","Leith","Leith","Needle File Set","Automotive, Bike, Carpentry and Woodworking, Electrical and Soldering, General DIY, Metalworking, Miscellaneous, Plumbing",NA,10,"Metalworking",NA,NA
"ETL0572","Drills","Leith","Leith","Hand drill","Carpentry and Woodworking, Electrical and Soldering, General DIY, Metalworking",NA,15,"General DIY",NA,NA
"ETL0573","Ball Peen Hammers","Leith","Leith","Ball peen hammer","General DIY, Metalworking",NA,4,"Metalworking",NA,NA
"ETL0574","Ball Peen Hammers","Leith","Leith","Cross peen hammer","General DIY, Metalworking",NA,4,"General DIY",NA,NA
"ETL0575","Planes","Portobello","Portobello","Small Hand Plane","Carpentry and Woodworking",NA,5,"Carpentry and Woodworking",NA,NA
"ETL0576","Crescent Wrench","Leith","Leith","Miniature Spanner Set","General DIY",NA,10,"General DIY",NA,NA
"ETL0577","Levels","Leith","Leith","24cm Spirit Level","Carpentry and Woodworking, General DIY, Painting and Decorating",NA,10,"General DIY",NA,NA
"ETL0578","Lineman Plier","Leith","Leith","Slip-joint Pliers","Automotive, Bike, Electrical and Soldering, General DIY, Metalworking, Plumbing",NA,4,"General DIY",NA,NA
"ETL0579","Awl","Leith","Leith","Bradawl","Carpentry and Woodworking, General DIY, Miscellaneous",NA,10,"Carpentry and Woodworking",NA,NA
"ETL0580","Crescent Wrench","Leith","Leith","16cm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0581","Crescent Wrench","Leith","Leith","13.5cm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0582","Awl","Leith","Leith","Bradawl","Carpentry and Woodworking, General DIY, Miscellaneous",NA,10,"Carpentry and Woodworking",NA,NA
"ETL0583","Lineman Plier","Leith","Leith","Pliers","Automotive, Bike, Electrical and Soldering, General DIY, Metalworking, Plumbing",NA,4,"General DIY",NA,NA
"ETL0584","Jig Saws","Portobello","Portobello","Jigsaw","Carpentry and Woodworking, General DIY",NA,35,"Carpentry and Woodworking",2.8,"Electrical"
"ETL0586","Belt Sanders","Leith","Leith","Belt Sander","Carpentry and Woodworking, General DIY",NA,40,"Carpentry and Woodworking",6.5,"Electrical"
"ETL0587","Cordless Drills","Portobello","Portobello","Cordless Drill","General DIY",NA,0,"General DIY",NA,NA
"ETL0588","Wallpaper Steamer","Leith","Leith","Super Steamer Wallpaper Stripper","Painting and Decorating",NA,40,"Painting and Decorating",1.8,"Electrical"
"ETL0589","Claw Hammers","Portobello","Portobello","Claw Hammer","Carpentry and Woodworking, Garden, General DIY, Miscellaneous",NA,5,"General DIY",NA,NA
"ETL0590","Claw Hammers","Portobello","Portobello","Claw Hammer","Carpentry and Woodworking, Garden, General DIY, Miscellaneous",NA,5,"General DIY",NA,NA
"ETL0591","Circular Saws","Portobello","Portobello","Corded circular saw","Carpentry and Woodworking, General DIY",NA,60,"Carpentry and Woodworking",4.3,"Electrical"
"ETL0593","Utility Wagon","Leith","Leith","Sack trolley","General DIY",NA,50,"General DIY",NA,NA
"ETL0594","Wallpaper Steamer","Leith","Leith","Wallpaper Steamer","Painting and Decorating",NA,25,"Painting and Decorating",NA,NA
"ETL0595","Wallpaper Steamer","Portobello","Portobello","Wallpaper Steamer","Painting and Decorating",NA,25,"Painting and Decorating",NA,NA
"ETL0596","Soldering & Heat Guns","Leith","Leith","Heat gun","General DIY, Miscellaneous, Painting and Decorating",NA,25,"Painting and Decorating",0.9,"Electrical"
"ETL0597","Finishing Power Sanders","Leith","Leith","Detail Sander","Carpentry and Woodworking, General DIY, Miscellaneous",NA,57,"Carpentry and Woodworking",6.5,"Electrical"
"ETL0598","Cordless Circular Saw","Leith","Leith","Cordless circular saw","Carpentry and Woodworking, General DIY",NA,60,"Carpentry and Woodworking",4.3,"Electrical"
"ETL0600","Hammer Drills","Leith","Leith","Black & Decker corded hammer drill","General DIY",NA,80,"General DIY",4.7,"Electrical"
"ETL0601","Power Planer","Leith","Leith","Black & Decker Plus Electric Plane","Carpentry and Woodworking",NA,45,"Carpentry and Woodworking",NA,NA
"ETL0602","Scythes, Sickles & Machetes","Leith","Leith","Hawkbill Machete","Garden",NA,20,"General DIY",NA,NA
"ETL0603","Screwdriver Sets","Leith","Leith","Ratchet screwdriver set","Automotive, Bike, Carpentry and Woodworking, Electrical and Soldering, Garden, General DIY, Miscellaneous",NA,10,"General DIY",NA,NA
"ETL0604","Electric Chippers","Leith","Leith","Flymo Gardenvac 2200w Turbo","Garden",NA,60,"Garden",NA,NA
"ETL0605","Crescent Wrench","Leith","Leith","15cm Adjustable Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0606","String Trimmer","Leith","Leith","Flymo Power Trim 500 XT Strimmer","Garden",NA,40,"Garden",3.9,"Electrical"
"ETL0607","Routers","Leith","Leith","Performance Power Electic Router","Carpentry and Woodworking",NA,80,"Carpentry and Woodworking",3.8,"Electrical"
"ETL0608","Metal Garden Rake","Leith","Leith","Roller Moss Remover / Scarifying rake","Garden, Miscellaneous",NA,8,"Garden",NA,NA
"ETL0609","Scrapers","Leith","Leith","Tile adhesive comb","General DIY, Painting and Decorating",NA,3,"Painting and Decorating",NA,NA
"ETL0610","Scrapers","Leith","Leith","Wallpaper Spreader","General DIY, Painting and Decorating",NA,3,"Painting and Decorating",NA,NA
"ETL0611","Manual Hedge Trimmer","Leith","Leith","Stihl Petrol Hedge Trimmer","Garden, General DIY",NA,200,"Garden",4.2,"Electrical"
"ETL0612","Pruning Saw","Leith","Leith","Bush saw","Garden, General DIY",NA,10,"Garden",NA,NA
"ETL0613","Scrapers","Leith","Leith","Wall/Floor Scraper","Painting and Decorating",NA,2,"Painting and Decorating",NA,NA
"ETL0614","Scrapers","Leith","Leith","Wall/Floor Scraper","Painting and Decorating",NA,2,"Painting and Decorating",NA,NA
"ETL0615","Ball Peen Hammers","Leith","Leith","Ball peen hammer","General DIY, Metalworking",NA,4,"Metalworking",NA,NA
"ETL0616","Claw Hammers","Leith","Leith","Claw Hammer","Carpentry and Woodworking, Garden, General DIY, Miscellaneous",NA,5,"General DIY",NA,NA
"ETL0617","Levels","Leith","Leith","Axus Precision Wallpaper Trimming Edge","General DIY, Painting and Decorating",NA,10,"Painting and Decorating",NA,NA
"ETL0618","Levels","Leith","Leith","Beeline Wallpaper Trimming Edge","General DIY, Painting and Decorating",NA,10,"Painting and Decorating",NA,NA
"ETL0619","Sharp Bristle Brushes","Leith","Leith","Paperhanging Brush","Painting and Decorating",NA,3,"Painting and Decorating",NA,NA
"ETL0620","Caulk Guns","Leith","Leith","Silicon Sealant / Caulking Gun","General DIY",NA,2,"General DIY",NA,NA
"ETL0621","Notched Trowel","Leith","Leith","Plastic Plastering Trowel","Painting and Decorating",NA,0,"Painting and Decorating",NA,NA
"ETL0622","Notched Trowel","Leith","Leith","Tiling trowel","Painting and Decorating",NA,0,"Painting and Decorating",NA,NA
"ETL0623","Power Drills","Leith","Leith","Grout Out Electric Grout Remover","General DIY",NA,30,"General DIY",NA,NA
"ETL0624","Scrapers","Leith","Leith","Paint scraper","Painting and Decorating",NA,3,"Painting and Decorating",NA,NA
"ETL0625","Tape Measures","Leith","","Tape measure","Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous, Painting and Decorating, Plumbing",NA,2,"General DIY",NA,NA
"ETL0626","Tape Measures","Leith","Leith","Tape measure","Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous, Painting and Decorating, Plumbing",NA,2,"General DIY",NA,NA
"ETL0627","Tape Measures","Leith","Leith","Tape measure","Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous, Painting and Decorating, Plumbing",NA,2,"General DIY",NA,NA
"ETL0628","Tape Measures","Leith","Leith","Tape measure","Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous, Painting and Decorating, Plumbing",NA,2,"General DIY",NA,NA
"ETL0630","Shears","Portobello","Portobello","Long handled shears","Garden",NA,12,"Garden",NA,NA
"ETL0631","Wallpaper Steamer","Leith","Leith","Wallpaper Steamer","General DIY, Miscellaneous, Painting and Decorating",NA,30,"Painting and Decorating",NA,NA
"ETL0632","Hand Tile Cutter","Leith","Leith","Quarry and Floor Tile Cutter","General DIY, Miscellaneous, Painting and Decorating",NA,10,"Painting and Decorating",NA,NA
"ETL0633","Hammer Drills","Leith","Leith","Dewalt corded SDS hammer drill","General DIY",NA,80,"General DIY",4.7,"Electrical"
"ETL0634","Automotive Trickle Chargers","Leith","Leith","6 amp Battery Charger","Automotive, Bike",NA,0,"Automotive",NA,NA
"ETL0635","Grout Trowel","Leith","Leith","Grout Rake","General DIY, Painting and Decorating, Plumbing",NA,0,"Painting and Decorating",NA,NA
"ETL0636","Scrapers","Leith","Leith","Paint scraper","Painting and Decorating",NA,3,"Painting and Decorating",NA,NA
"ETL0637","Scrapers","Leith","Leith","Narrow Paint Scraper","Painting and Decorating",NA,2,"Painting and Decorating",NA,NA
"ETL0638","Grout Trowel","Leith","Leith","Grout Rake","General DIY, Painting and Decorating, Plumbing",NA,0,"Painting and Decorating",NA,NA
"ETL0639","Sharp Bristle Brushes","Leith","Leith","Wire brush","General DIY",NA,3,"General DIY",NA,NA
"ETL0640","Sharp Bristle Brushes","Leith","Leith","Paperhanging Brush","Painting and Decorating",NA,3,"Painting and Decorating",NA,NA
"ETL0641","Scrapers","Leith","Leith","Wall/Floor Scraper","Painting and Decorating",NA,2,"Painting and Decorating",NA,NA
"ETL0642","Squares","Leith","Leith","square","Carpentry and Woodworking, General DIY",NA,5,"Carpentry and Woodworking",NA,NA
"ETL0643","Hand Tools","Leith","Leith","Vintage Dunlop Foot Pump","Automotive, Bike",NA,0,"Bike",NA,NA
"ETL0644","Hand Tile Cutter","Leith","Leith","Tile cutter","General DIY, Painting and Decorating",NA,10,"Painting and Decorating",NA,NA
"ETL0645","Hand Tile Cutter","Leith","Leith","Tile cutter","General DIY, Painting and Decorating, Plumbing",NA,10,"Painting and Decorating",NA,NA
"ETL0646","Grass Shear","Leith","Leith","Garden shears","Garden",NA,10,"Garden",NA,NA
"ETL0647","Grass Shear","Leith","Leith","Garden shears","Garden",NA,10,"Garden",NA,NA
"ETL0648","Bits, Drivers and Accessories","Leith","Leith","Drill Bit set","Carpentry and Woodworking, General DIY, Metalworking",NA,10,"General DIY",NA,NA
"ETL0649","Grass Shear","Leith","Leith","Long handled shears","Garden, Miscellaneous",NA,6,"Garden",NA,NA
"ETL0650","Rulers","Leith","Leith","Steel ruler","Carpentry and Woodworking, General DIY, Metalworking",NA,0,"General DIY",NA,NA
"ETL0651","Rulers","Leith","Leith","Steel ruler","Carpentry and Woodworking, General DIY, Metalworking",NA,0,"General DIY",NA,NA
"ETL0652","Claw Hammers","Portobello","Portobello","Tack Hammer","Carpentry and Woodworking, General DIY, ...",NA,5,"General DIY",NA,NA
"ETL0653","Brick Hammers","Leith","Leith","Brick or Stonemason's Hammer","General DIY",NA,5,"General DIY",NA,NA
"ETL0654","Wood Chisel","Leith","Leith","Wood chisel","Carpentry and Woodworking",NA,20,"Carpentry and Woodworking",NA,NA
"ETL0655","Files","Portobello","Portobello","File","Carpentry and Woodworking, General DIY, Metalworking, Painting and Decorating",NA,1,"Metalworking",NA,NA
"ETL0656","Squares","Leith","Leith","Large Wooden Protractor","General DIY, Painting and Decorating",NA,5,"General DIY",NA,NA
"ETL0657","Wood Chisel","Leith","Leith","Wood chisel","Carpentry and Woodworking",NA,20,"Carpentry and Woodworking",NA,NA
"ETL0658","Wood Chisel","Leith","Leith","Wood chisel","Carpentry and Woodworking",NA,20,"Carpentry and Woodworking",NA,NA
"ETL0659","Claw Hammers","Leith","Leith","Claw / cross-pein hammer","Carpentry and Woodworking, General DIY",NA,5,"General DIY",NA,NA
"ETL0660","Squares","Leith","Leith","Tri square","Carpentry and Woodworking, General DIY",NA,5,"Carpentry and Woodworking",NA,NA
"ETL0661","Crescent Wrench","Leith","Leith","22 / 19mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0662","Planes","Leith","Leith","Hand plane","Carpentry and Woodworking",NA,5,"Carpentry and Woodworking",NA,NA
"ETL0663","Crescent Wrench","Leith","Leith","14 / 12mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0664","Crescent Wrench","Leith","Leith","8 / 10mm Spanner","General DIY",NA,2,"General DIY",NA,NA
"ETL0666","Crescent Wrench","Leith","Leith","Set of Spanner / Ratchets","General DIY",NA,2,"General DIY",NA,NA
"ETL0667","Bits, Drivers and Accessories","Portobello","Portobello","Screwdriver Drill Bit set","Carpentry and Woodworking, General DIY, Metalworking",NA,5,"General DIY",NA,NA
"ETL0668","Cordless Circular Saw","Leith","Leith","Cordless circular saw","Carpentry and Woodworking, General DIY",NA,60,"Carpentry and Woodworking",4.3,"Electrical"
"ETL0670","Angle Grinders","Leith","Leith","DeWalt Angle Grinder","General DIY, Metalworking, Miscellaneous",NA,54,"Metalworking",7,"Metal"
"ETL0672","Belt Sanders","Portobello","Portobello","Palm Belt Sander","Carpentry and Woodworking, General DIY",NA,40,"Carpentry and Woodworking",6.5,"Electrical"
"ETL0673","Power Planer","Leith","Leith","Electric Planer","Carpentry and Woodworking, General DIY",NA,45,"Carpentry and Woodworking",33.3,"Electrical"
"ETL0674","Slip Joint Pliers","Leith","Leith","slip joint pliers","General DIY, Plumbing",NA,6,"General DIY",NA,NA
"ETL0675","Wallpaper Steamer","Leith","Leith","Performance Power Steamer","Miscellaneous, Painting and Decorating",NA,40,"Painting and Decorating",NA,NA
"ETL0676","Hand Tool Sets","Portobello","Portobello","Woodworking Kit","General DIY",NA,30,"General DIY",NA,NA
"ETL0677","Open End Wrench","Leith","Leith","Combination Spanner/Wrench set","Automotive, Bike",NA,20,"Automotive",NA,NA
"ETL0678","Hand Axe","Leith","Leith","Small Axe","Carpentry and Woodworking, Garden, General DIY, Miscellaneous",NA,30,"Garden",NA,NA
"ETL0679","Hand Axe","Leith","Leith","Small Axe","Carpentry and Woodworking, Garden, General DIY, Miscellaneous",NA,30,"Garden",NA,NA
"ETL0680","Hand Axe","Leith","Leith","Small Axe","Carpentry and Woodworking, Garden, General DIY, Miscellaneous",NA,30,"Garden",NA,NA
"ETL0681","Claw Hammers","Leith","Leith","Claw Hammer","Carpentry and Woodworking, Garden, General DIY, Miscellaneous",NA,5,"General DIY",NA,NA
"ETL0682","Lawn Care (other)","Leith","Leith","Lawn aerator","Garden, Miscellaneous",NA,5,"Garden",NA,NA
"ETL0683","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0684","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0685","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0686","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0687","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0688","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0689","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0690","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0691","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0692","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0693","Screwdrivers","Leith","Leith","Screwdriver","Automotive, Bike, General DIY, Miscellaneous",NA,1,"General DIY",NA,NA
"ETL0694","Hoes","Leith","Leith","Turf Cutter","Garden",NA,5,"Garden",NA,NA
"ETL0695","Crowbar","Leith","Leith","Large Crowbar","Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous",NA,5,"General DIY",NA,NA
"ETL0696","Crowbar","Leith","Leith","Crowbar","Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous",NA,5,"General DIY",NA,NA
"ETL0697","Chisels & Gouges","Leith","Leith","half moon gouge","General DIY",NA,0,"General DIY",NA,NA
"ETL0698","Chisels & Gouges","Leith","Leith","half moon gouge","General DIY",NA,0,"General DIY",NA,NA
"ETL0699","Wet Tile Saws","Leith","Leith","Vitrex Portable Diamond Blade Wet Saw 100mm","General DIY",NA,30,"General DIY",NA,NA
"ETL0700","Chisels & Gouges","Leith","Leith","half moon gouge","General DIY",NA,0,"General DIY",NA,NA
"ETL0701","Staple Gun","Portobello","Portobello","Staple gun","Carpentry and Woodworking, General DIY, Painting and Decorating, ...",NA,12,"General DIY",1.8,"Electrical"
"ETL0702","Bar Clamps","Leith","Leith","Adjustable vice clamp","Carpentry and Woodworking, General DIY",NA,10,"Carpentry and Woodworking",NA,NA
"ETL0703","Bits, Drivers and Accessories","Leith","Leith","34 Piece Drill Bit set","Carpentry and Woodworking, General DIY, Metalworking",NA,47,"General DIY",NA,NA
